#  STRING NAME (do not change!);English;;;;;;;;;;X
##;;;;;;;;;;;X
# New World Order 2;;;;;;;;;;;X
##;;;;;;;;;;;X
# Events;;;;;;;;;;;X
##;;;;;;;;;;;X
EVT_9999990_NAME;Socialist and Nationalist Partisans;;;;;;;;;;;;;x;;;;
EVT_9999990_DESC;Despite the end of the WW2 many nationalists, that reject collaboration with Germany, and socialists, that couldn't accept defeat of Soviet Union, roam through the countryside causing great turmoil. We can only hope that situation doesn't get out of control.;;;;;;;;;;;;;x;;;;
EVT_9999990_A;And we hope so!;;;;;;;;;;;;;x;;;;
EVT_9999989_NAME;Unreast of Minorities;;;;;;;;;;;;;x;;;;
EVT_9999989_DESC;Even before the war strife between the minorities was a problem in 2nd Polish Republic - now with the acquisition of new territories it's starting to reach even greater levels.;;;;;;;;;;;;;x;;;;
EVT_9999989_A;What do you mean? They don't want to speak Polish?!;;;;;;;;;;;;;x;;;;
EVT_9999988_NAME;Prison break;;;;;;;;;;;;;x;;;;
EVT_9999988_DESC;Recent reports state that high profile socialist political prisoners were freed from the prison by armed partisans.;;;;;;;;;;;;;x;;;;
EVT_9999988_A;What's going on in this country!!!;;;;;;;;;;;;;x;;;;
EVT_9999987_NAME;Riots in big cities;;;;;;;;;;;;;x;;;;
EVT_9999987_DESC;Lwow, Krakow, Lodz, Warsaw, Poznan those cities were caught under riots, people are tired of post-war rationing and they demand better living conditions and relaxation of military law.;;;;;;;;;;;;;x;;;;
EVT_9999987_A;Someone said "military law?";;;;;;;;;;;;;x;;;;
EVT_9999987_B;Give in to their demands;;;;;;;;;;;;;x;;;;
EVT_9999986_NAME;Farmers Protests;;;;;;;;;;;;;x;;;;
EVT_9999986_DESC;Food situation in cities is stil dire and we have has to relly on mandatory grain supply enforced on the peasants, however the prolonging situation starts to spark discontent, among rural population, that sparked in the form of country wide protest.;;;;;;;;;;;;;x;;;;
EVT_9999986_A;Is everyone already rioting?;;;;;;;;;;;;;x;;;;
EVT_9999985_NAME;Chaos in the south! Chaos in the east!;;;;;;;;;;;;;x;;;;
EVT_9999985_DESC;We are not quite sure yet what is happening but military forces were unable to stop the rioters and were forced to flee to central Poland to regroup, however they are assuring us that this situation is only temporary.;;;;;;;;;;;;;x;;;;
EVT_9999985_A;Everything is fine... right?;;;;;;;;;;;;;x;;;;
EVT_9999984_NAME;Polish Civil War!;;;;;;;;;;;;;x;;;;
EVT_9999984_DESC;When the Germans came we were unable to stop them, yet we fought bravely even under the occupation, but the government... the government in London betrayed us! And now we socialists see, we patriots see no more German fabrications will cover the eyes of truth seekers the true enemy is fascism and our crypto-fascist overlords! No matter if your cause is simple welfare of the people that went into peril with Soviet tragedy or patriotic duty that pushes you forward; We will be victorious and the traitors of the nation, traitors of the people, shall hang!;;;;;;;;;;;;;x;;;;
EVT_9999984_A;Death to all who oppose the will of the people and nations!;;;;;;;;;;;;;x;;;;
EVT_9999984_B;It's time to stop this madness!;;;;;;;;;;;;;x;;;;
